ADVANCED MEDICAL INSTITUTE INC.,1096620,8090
ADVANCED MEDICAL OPTICS INC,1168335,3841
ADVANCED MICRO DEVICES INC,0002488,3674
ADVANCED NUTRACEUTICALS INC/TX,0913614,2834
ADVANCED OPTICS ELECTRONICS INC,1020657,3827
ADVANCED OXYGEN TECHNOLOGIES INC,0352991,6794
ADVANCED PHOTONIX INC,0869986,3674
ADVANCED PLANT PHARMACEUTICALS INC,0943535,2020
Advanced Refractive Technologies  Inc.,1082249,3841
ADVANCED SEMICONDUCTOR ENGINEERING INC,1122411,3674
ADVANCED SPORTS TECHNOLOGIES INC,1160798,3841
ADVANCED TECHNOLOGIES GROUP LTD,1119046,9995
ADVANCED VIRAL RESEARCH CORP,0786623,2834
ADVANCIS PHARMACEUTICAL CORP,1161924,2834
ADVANSTAR COMMUNICATIONS INC,1062771,7389
ADVANSTAR INC,1064243,7389
ADVANT E CORP,0925043,7372
ADVANTA BUSINESS RECEIVABLES CORP,1107920,6189
ADVANTA CORP,0096638,6141
ADVANTEST CORP,1158838,3663
Advaxis  Inc.,1100397,2834
ADVENT SOFTWARE INC /DE/,1002225,7371
ADVENTRX PHARMACEUTICALS INC,1160308,2834
ADVISORY BOARD CO,1157377,8741
ADVO INC,0801622,7331
ADVOCAT INC,0919956,8051
ADX Corp.,1290246,2890
ADZONE RESEARCH INC,1102013,8700
AEC1 INC,1274893,2810
AEGIS ASSESSMENTS INC,1183075,3669
AEGIS ASSET BACKED SEC CORP MORT PAS THR CERT SERIES 2004 2,1287414,6189
AEGIS ASSET BACKED SEC TR MORT PASS THR CERT SER 2004 1,1277608,6189
AEGIS ASSET BACKED SECURITIES TRUST 2004-6,1312821,6189
AEGIS ASSET BACKED SECURITIES TRUST Mortgage Pass-Through Certificates  Series 2004-3,1296486,6189
AEGIS ASSET BACKED SECURITIES TRUST Mortgage Pass-Through Certificates  Series 2004-4,1302044,6189
AEGIS ASSET BACKED SECURITIES TRUST Mortgage Pass-Through Certificates  Series 2004-5,1307448,6189
AEGIS COMMUNICATIONS GROUP INC,0778426,7389
AEGON NV,0769218,6311
AEHR TEST SYSTEMS,1040470,3825
AEI INCOME  GROWTH FUND 23 LLC,1073363,6500
AEI INCOME  GROWTH FUND 24 LLC,1130758,6500
AEI INCOME  GROWTH FUND 25 LLC,1185198,6500
AEI INCOME  GROWTH FUND XXI LTD PARTNERSHIP,0931755,6500
AEI INCOME  GROWTH FUND XXII LTD PARTNERSHIP,1023458,6500
AEI NET LEASE INCOME  GROWTH FUND XIX LIMITED PARTNERSHIP,0868740,6500
AEI NET LEASE INCOME  GROWTH FUND XX LIMITED PARTNERSHIP,0894245,6500
AEI REAL ESTATE FUND XV LTD PARTNERSHIP,0793631,6500
AEI REAL ESTATE FUND XVII LIMITED PARTNERSHIP,0819577,6500
AEI REAL ESTATE FUND XVIII LIMITED PARTNERSHIP,0840459,6500
AEOLUS PHARMACEUTICALS  INC.,1261734,2834
AEP GENERATING CO /OH/,0857571,4911
AEP INDUSTRIES INC,0785787,3081
AEP TEXAS CENTRAL CO,0018734,4911
AEP TEXAS NORTH CO,0105860,4911
Aerobic Creations  Inc.,1311953,7822
AEROCENTURY CORP,1036848,7359
AEROFLEX INC,0002601,3674
AEROPOSTALE INC,1168213,5600
AEROSONIC CORP /DE/,0109471,3812
AEROTELESIS INC,0017544,4813
AES CORP,0874761,4991
AES GENER INC,0926075,4931
Aeterna Zentaris Inc.,1113423,2834
AETHER HOLDINGS INC,1093434,6799
AETHLON MEDICAL INC,0882291,3826
AETNA INC /PA/,1122304,6324
AETRIUM INC,0908598,3825
AF FINANCIAL GROUP,1064025,6021
AFC ENTERPRISES INC,1041379,5812
AFFILIATED COMPUTER SERVICES INC,0002135,7374
AFFILIATED MANAGERS GROUP INC,1004434,6282
AFFINITY GROUP INC,0910560,7900
AFFINITY TECHNOLOGY GROUP INC,1007508,6794
AFFIRMATIVE INSURANCE HOLDINGS INC,1282543,6331
AFFORDABLE RESIDENTIAL COMMUNITIES INC,1265131,6798
AFFYMETRIX INC,0913077,3826
AFG INVESTMENT TRUST C,0879496,7359
AFG INVESTMENT TRUST D,0879497,7359
AFLAC INC,0004977,6321
AFP IMAGING CORP,0319126,3861
AFTERMARKET TECHNOLOGY CORP,0933405,3714
Aftersoft Group,0832488,6770
AFV SOLUTIONS  INC.,1167868,3790
AGCO CORP /DE,0880266,3523
AGERE SYSTEMS INC,1129446,3674
AGILE SOFTWARE CORP,1088653,7372
AGILENT TECHNOLOGIES INC,1090872,3825
AGILYSYS INC,0078749,5065
AGL RESOURCES INC,1004155,4924
AGNICO EAGLE MINES LTD,0002809,1040
AGREE REALTY CORP,0917251,6798
AGRIUM INC,0943003,2870
AHPC Holdings  Inc.,0837038,5190
AIDA PHARMACEUTICALS INC,1220286,2834
AIMCO PROPERTIES LP,0926660,6513
AIMS WORLDWIDE INC,1094363,7900
AINSWORTH LUMBER CO LTD,1043289,2400
AIR BROOK AIRPORT EXPRESS INC,0803097,6799
AIR FRANCE-KLM /FI,1110452,4512
AIR METHODS CORP,0816159,4522
AIR PRODUCTS  CHEMICALS INC /DE/,0002969,2810
AIR T INC,0353184,4513
Airbee Wireless  Inc.,1297533,7372
AIRCRAFT LEASE PORTFOLIO SECURITISATION 92-1 LTD,1023626,6189
AIRGAS EAST INC,1158045,5160
AIRGAS INC,0804212,5084
AIRNET COMMUNICATIONS CORP,0944163,3663
AIRNET SYSTEMS INC,1011696,4512
AIRSPAN NETWORKS INC,1105542,3663
AIRTRAN HOLDINGS INC,0948846,4512
AIRTRAX INC,1081372,3537
AIXTRON AG,1089496,3559
AJAY SPORTS INC,0854858,3949
AJS BANCORP INC,1144515,6021
AK STEEL HOLDING CORP,0918160,3312
AKAMAI TECHNOLOGIES INC,1086222,7389
AKESIS PHARMACEUTICALS  INC.,1042420,7389
AKORN INC,0003116,2834
AKSYS LTD,0902600,3845
AKTIEBOLAGET ELECTROLUX,0813810,3630
AKTIEBOLAGET VOLVO \PUBL\,0753762,3711
AKZO NOBEL NV,0003124,2800
ALABAMA GAS CORP,0003146,4924
ALABAMA NATIONAL BANCORPORATION,0926966,6022
ALABAMA POWER CO,0003153,4911
ALADDIN KNOWLEDGE SYSTEMS LTD,0911364,7373
ALAMO GROUP INC,0897077,3523
ALAMOS GOLD INC,1178819,1400
ALANCO TECHNOLOGIES INC,0098618,3572
ALASKA AIR GROUP INC,0766421,4512
ALASKA AIRLINES INC,0003202,4512
